N ccenter dcenter means median medoids 
100 0.004973070625 0.1582171625 0.0667763375 2.61496375 2.6053585
200 0.028430852105263 0.139345378289473 0.074234604078947 3.93858855921052 3.83275507894737
500 0.1934202 2.02930475 0.948080175 160.943575 160.06545
