N ccenter dcenter means median medoids
100 0.005567644875 0.158568675 0.067199935 2.615471625 2.605956625
200 0.030019246842105 0.140380424342105 0.07505873381579 3.940040375 3.83475525657895
500 0.19770835 2.033216 0.9512443 160.95235 160.08105
